image_id,shift,machine_temp,vibration,humidity,has_defect,defect_type
product_0000.jpg,Evening,94.1,2.28,30.3,1,Thermal Scratch
product_0001.jpg,Night,69.2,3.1,68.8,1,Vibration Chatter
product_0002.jpg,Night,83.5,3.06,54.9,0,None
product_0003.jpg,Evening,73.5,2.34,78.7,1,Surface Crack
product_0004.jpg,Night,62.0,3.53,49.4,0,None
product_0005.jpg,Evening,73.6,4.09,37.7,0,None
product_0006.jpg,Morning,64.3,4.08,33.9,1,Vibration Chatter
product_0007.jpg,Evening,74.2,2.33,78.2,1,Surface Crack
product_0008.jpg,Evening,75.6,4.22,39.7,0,None
product_0009.jpg,Morning,93.6,1.16,49.4,0,None
product_0010.jpg,Morning,61.3,3.81,62.2,1,Vibration Chatter
product_0011.jpg,Morning,77.3,3.31,68.2,1,Vibration Chatter
product_0012.jpg,Night,90.6,1.75,36.1,1,Thermal Scratch
product_0013.jpg,Evening,84.8,3.33,63.0,1,Thermal Scratch
product_0014.jpg,Night,91.9,3.08,39.1,1,Thermal Scratch
product_0015.jpg,Morning,68.3,4.2,33.2,1,Vibration Chatter
product_0016.jpg,Night,76.7,4.26,74.9,0,None
product_0017.jpg,Morning,93.9,1.35,78.1,1,Thermal Scratch
product_0018.jpg,Evening,92.8,1.29,44.3,0,None
product_0019.jpg,Night,78.1,2.97,77.4,1,Thermal Scratch
product_0020.jpg,Evening,65.9,0.6,56.6,1,Surface Crack
product_0021.jpg,Morning,92.4,3.01,78.4,1,Thermal Scratch
product_0022.jpg,Evening,77.1,4.2,64.5,1,Vibration Chatter
product_0023.jpg,Night,88.6,0.69,53.1,1,Thermal Scratch
product_0024.jpg,Evening,79.5,2.41,63.3,1,Thermal Scratch
product_0025.jpg,Night,65.7,3.04,34.7,1,Vibration Chatter
product_0026.jpg,Evening,93.7,1.19,48.1,1,Thermal Scratch
product_0027.jpg,Evening,73.1,1.57,63.2,1,Surface Crack
product_0028.jpg,Night,71.4,2.72,42.6,1,Surface Crack
product_0029.jpg,Night,65.7,1.83,42.7,1,Surface Crack
product_0030.jpg,Night,84.2,1.25,76.5,0,None
product_0031.jpg,Evening,77.4,1.56,69.7,1,Surface Crack
product_0032.jpg,Night,69.6,3.88,78.1,1,Vibration Chatter
product_0033.jpg,Evening,81.4,3.57,75.4,1,Thermal Scratch
product_0034.jpg,Morning,82.2,3.23,68.7,0,None
product_0035.jpg,Evening,89.6,4.45,54.5,0,None
product_0036.jpg,Night,60.9,1.84,39.6,1,Surface Crack
product_0037.jpg,Evening,60.6,4.45,36.8,1,Vibration Chatter
product_0038.jpg,Morning,94.2,1.67,30.5,0,None
product_0039.jpg,Morning,61.8,4.16,47.9,1,Vibration Chatter
product_0040.jpg,Night,87.6,4.33,48.9,0,None
product_0041.jpg,Evening,83.1,2.56,73.3,0,None
product_0042.jpg,Morning,88.7,3.14,63.2,1,Thermal Scratch
product_0043.jpg,Night,67.1,3.66,53.2,0,None
product_0044.jpg,Night,74.6,2.14,72.5,1,Surface Crack
product_0045.jpg,Morning,66.6,2.83,70.1,1,Vibration Chatter
product_0046.jpg,Morning,63.4,2.26,71.1,0,None
